name,class,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
GX 339-4,BH,59042.81444,HS,1.8535190221875185e+29,1.04344090860477e+28,0,2.1878974843338145e+35,2.6362098494182047e+34,3.006834947496857e+34,0
GX 339-4,BH,59049.81741,HS,1.8075640051084894e+29,1.0377979676450146e+28,0,2.120407915980991e+35,2.8848826670445276e+34,3.3177093349650677e+34,0
GX 339-4,BH,59054.89148,HS,1.5042608923868953e+29,8.735228265154323e+27,0,1.710952736095172e+35,2.4128681788572914e+34,2.7378708736893575e+34,0
GX 339-4,BH,59062.70781,HS,1.306654318947069e+29,8.10383931018478e+27,0,1.3298613624689737e+35,2.5261095809506477e+34,3.0074926194863784e+34,0
GX 339-4,BH,59069.69732,HS,1.2729539730891138e+29,8.108948362673904e+27,0,1.259740935577872e+35,1.6904936338851033e+34,1.8876566996104097e+34,0
GX 339-4,BH,59076.77035,HS,9.895647011017662e+28,7.420308413059585e+27,0,8.173278021622827e+34,1.3950192439787726e+34,1.7092083141637548e+34,0
GX 339-4,BH,59091.67337,HS,5.621830422667928e+28,5.985870059203111e+27,0,1.0323721225157871e+34,2.796249438864589e+33,3.7068414579351403e+33,0
GX 339-4,BH,59096.86467,HS,5.146961912851292e+28,6.141106640641948e+27,0,1.1510766294326356e+34,3.016889696947289e+33,4.1771989976288454e+33,0
GX 339-4,BH,59118.79093,HS,2.879847736952509e+28,5.138383789129036e+27,0,8.68137907861655e+33,2.809576444208994e+33,4.138327774834543e+33,0
GX 339-4,BH,59132.66506,HS,3.6917197053486943e+28,5.20923199196819e+27,0,2.84926592125853e+33,1.5949091271024233e+33,3.4460745479473626e+33,0
GX 339-4,BH,59238.48995,HS,4.089996520033616e+29,2.1370318255964328e+28,0,6.00557013968184e+36,4.386553291583401e+35,4.6055704051112135e+35,0
GX 339-4,BH,59244.21015,HS,5.928197203194792e+29,3.010039586577435e+28,0,1.314871238099758e+37,1.4361131064036928e+36,1.612171253109422e+36,0
GX 339-4,BH,59251.44824,HS,9.145048398726848e+29,4.603670865743975e+28,0,2.6849886947618854e+37,2.6996489997800066e+36,3.037448147070816e+36,0
GX 339-4,BH,59260.42055,HS,1.4322646989630825e+30,7.188543975512511e+28,0,4.511069786671948e+37,4.01541837913348e+36,5.027928667579821e+36,0
GX 339-4,BH,59265.45867,HS,1.5931072587396856e+30,7.990741626983568e+28,0,4.1245264012535804e+37,4.164425928651552e+36,4.6093972581670046e+36,0
GX 339-4,BH,59273.30386,HS,1.669698953871401e+30,8.365889523630074e+28,0,5.158008917573581e+37,5.100790044053315e+36,5.692638429835981e+36,0
GX 339-4,BH,59279.21297,HS,1.792245666082146e+30,8.974375306736861e+28,0,4.1338838843115243e+37,4.1603548939967595e+36,4.6086639249683964e+36,0
GX 339-4,BH,59281.24699,HS,2.0526574295299794e+30,1.0271679195290366e+29,0,5.29571180527675e+37,5.229410875762678e+36,5.907936545580744e+36,0
GX 339-4,BH,59286.10265,HS,1.884155700240205e+30,9.437537673657457e+28,0,4.401761505814299e+37,4.5188487619978585e+36,4.996558761903677e+36,0
GX 339-4,BH,59293.14299,HS,2.3283875320041554e+30,1.1652708826427458e+29,0,6.620265455361693e+37,6.504603294204316e+36,7.024805385141369e+36,0
GX 339-4,BH,59301.28175,IMS,7.199619342381271e+29,3.635342653759754e+28,0,1.2944158507465236e+38,1.0793476073581449e+37,1.4212676677831205e+37,0
GX 339-4,BH,59309.17674,IMS,1.8075640051084894e+30,9.052290243533869e+28,0,2.114767486303252e+38,1.7352920794476915e+37,2.0154868433599743e+37,0
GX 339-4,BH,59314.07361,SS,4.2738165883497324e+30,2.1380050528658733e+29,0,2.0503906540798788e+38,1.746612981538992e+37,1.9060340728683366e+37,0
GX 339-4,BH,59322.99552,SS,3.707038044375038e+30,1.8543437565784027e+29,0,2.4156439767513738e+38,1.9129578843595544e+37,2.1176840498861117e+37,0
GX 339-4,BH,59328.0165,SS,1.8075640051084894e+30,9.05255114252802e+28,0,2.216792129754859e+38,2.173273712030873e+37,2.547917447794236e+37,0
GX 339-4,BH,59335.06897,SS,3.3240795687164586e+30,1.6629442661764267e+29,0,2.5022789288270186e+38,2.438326829575542e+37,2.7407434911644744e+37,0
GX 339-4,BH,59341.10074,SS,2.221159158819754e+30,1.1118145439460375e+29,0,2.4470421532962235e+38,2.306318514561296e+37,2.5798875307265224e+37,0
GX 339-4,BH,59349.91249,SS,1.884155700240205e+30,9.434331087239534e+28,0,2.383024755513642e+38,2.325634367451264e+37,2.690095794313624e+37,0
GX 339-4,BH,59356.02457,SS,1.8382006831611758e+30,9.205403628232647e+28,0,2.1659099391570585e+38,2.1622149885616187e+37,2.3140987715903777e+37,0
GX 339-4,BH,59361.95779,SS,1.300526983336532e+30,6.534838977429325e+28,0,1.892931586798102e+38,1.6315771067093594e+37,1.7858790097973719e+37,0
GX 339-4,BH,59370.89962,SS,7.567259479013507e+29,3.8475679293038174e+28,0,2.2588618317544276e+38,2.2111454668220666e+37,2.452545872676022e+37,0
GX 339-4,BH,59384.90198,SS,4.3963633005604785e+29,2.254531676716717e+28,0,1.6336853059716328e+38,1.571530956263425e+37,1.7190205642487121e+37,0
GX 339-4,BH,59392.02533,SS,3.262806212611087e+29,1.7092919027394175e+28,0,1.6241456935296035e+38,1.6275098040447512e+37,1.7430877460985545e+37,0
GX 339-4,BH,59421.69464,SS,7.7005290285426915e+28,6.713170499693636e+27,0,1.1210129652346351e+38,9.774518059348784e+36,1.0639700631670776e+37,0
GX 339-4,BH,59426.85107,SS,6.1503131190767685e+28,5.631746510649179e+27,0,1.0354019407696708e+38,8.97558893267614e+36,9.719173166707029e+36,0
GX 339-4,BH,59433.8276,SS,5.915942531973717e+28,5.777747915873443e+27,0,9.09229795904245e+37,6.78636146583502e+36,7.563215069415119e+36,0
GX 339-4,BH,59441.00347,SS,6.156440454687305e+28,5.95782771811537e+27,0,7.950931292564498e+37,5.952909528502653e+36,6.668590247139137e+36,0
GX 339-4,BH,59448.63946,SS,6.668072978167165e+28,6.081120571634572e+27,0,7.7810922647968e+37,6.930653986707124e+36,7.679993587545254e+36,0
GX 339-4,BH,59454.64299,SS,5.986406891494896e+28,6.24765100359223e+27,0,7.4011715582767285e+37,6.494824364856677e+36,6.823832787208407e+36,0
GX 339-4,BH,59462.71478,SS,9.532602376093328e+28,7.059981701957814e+27,0,6.53465958160632e+37,6.230445686968313e+36,6.969608243700155e+36,0
GX 339-4,BH,59470.6125,SS,6.461275401311532e+28,6.312100177117989e+27,0,4.563750605486263e+37,3.7161658906553664e+36,4.32230737611652e+36,0
GX 339-4,BH,59477.63002,SS,4.969269180145712e+28,6.03452818158025e+27,0,3.6898788139571107e+37,3.229654113723532e+36,3.5353838044265233e+36,0
GX 339-4,BH,59484.5467,IMS,7.023458443578326e+28,6.824480137648731e+27,0,2.738141836817383e+37,2.422731327071264e+36,2.616261728707369e+36,0
GX 339-4,BH,59491.60937,IMS,5.591193744615242e+29,2.8423053196558496e+28,0,1.0309718613256626e+37,8.883544351206349e+35,1.0238010122445072e+36,0
GX 339-4,BH,59496.60923,HS,7.260892698486644e+29,3.6676147345246347e+28,0,4.4604104385676985e+36,4.048198466183182e+35,4.59604635454921e+35,0
GX 339-4,BH,59504.47331,HS,3.76831140048041e+29,1.949997483032205e+28,0,1.661979390079271e+36,2.1041144344682308e+35,2.386537822383428e+35,0
GX 339-4,BH,59510.48376,HS,1.976065734398264e+29,1.1161867267967787e+28,0,1.2606385038746442e+36,1.744682025747796e+35,1.9144645435343096e+35,0
GX 339-4,BH,59637.35174,QS,1.468875529236043e+28,4.896251764120144e+27,1,4.2966984442681405e+33,1.7641153449291952e+33,2.963653064265994e+33,0
GX 339-4,BH,59657.08108,QS,1.6405941097213492e+28,5.468647032404498e+27,1,7.267569754755674e+33,2.9610411988912936e+33,4.8335030692619035e+33,0
GX 339-4,BH,59666.07072,QS,1.3786505123708817e+28,4.595501707902939e+27,1,3.669199365251858e+33,1.5652451653160366e+33,2.7152612776975936e+33,0
GX 339-4,BH,59685.18614,QS,1.547152241660656e+28,5.157174138868855e+27,1,1.2687633025331912e+34,3.933864137615754e+33,5.599141049267989e+33,0
GX 339-4,BH,59727.10054,HS,1.2988419660436341e+28,4.329473220145447e+27,1,7.091836278533175e+33,2.936719317104897e+33,4.953258432350754e+33,0
GX 339-4,BH,59763.88033,HS,1.2254671221074506e+28,4.084890407024836e+27,1,4.779649522318109e+33,2.171929137090504e+33,4.1761912809101795e+33,0
GX 339-4,BH,59769.83427,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,6.932033966469067e+33,2.9528882578946323e+33,5.1094590551113094e+33,0
GX 339-4,BH,59790.7154,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,5.896901800641545e+33,2.337649605204705e+33,3.7823976375661845e+33,0
GX 339-4,BH,59797.92122,HS,4.2615619171286585e+28,7.361554667370144e+27,0,1.1624513124810445e+35,1.8017704695386493e+34,2.103504145882964e+34,0
GX 339-4,BH,59804.64596,HS,8.827958780881548e+28,7.268699924937327e+27,0,5.4290078307413926e+35,6.746719247223943e+34,7.457697001135111e+34,0
GX 339-4,BH,59811.72616,HS,2.1016761144142778e+29,1.2695022060278943e+28,0,2.012885736150887e+36,2.2805315246892387e+35,2.6944874683839954e+35,0
GX 339-4,BH,59818.63968,HS,2.964098601597396e+29,1.6351616583453983e+28,0,4.090031002932505e+36,4.615948342565047e+35,5.23757715286115e+35,0
GX 339-4,BH,59825.6217,HS,4.7394940947505644e+29,2.4867062353610433e+28,0,6.379435199764342e+36,6.622976511649577e+35,7.909400904735036e+35,0
GX 339-4,BH,59831.69627,HS,5.1959805977355904e+29,2.689462381303542e+28,0,9.580199158433934e+36,9.783341508338206e+35,1.0386199304745925e+36,0
GX 339-4,BH,59838.70506,HS,5.568216236075727e+29,2.870397703777588e+28,0,1.2058146456223488e+37,1.2381945998359149e+36,1.3489257848437024e+36,0
GX 339-4,BH,59846.72634,HS,5.825564331718293e+29,3.0094740580331136e+28,0,1.2377944813648537e+37,1.0201873255652382e+36,1.0461583385652813e+36,0
GX 339-4,BH,59852.52132,HS,5.485497205333475e+29,2.851003502550308e+28,0,1.2472700593604711e+37,9.67004435814307e+35,1.0373754677252813e+36,0
GX 339-4,BH,59859.68057,HS,5.218958106275105e+29,2.710262364804163e+28,0,9.687928066668418e+36,9.88879719130623e+35,1.0879442888064685e+36,0
GX 339-4,BH,59867.46535,HS,3.1509823377187812e+29,1.7605971875730299e+28,0,6.082880022016991e+36,5.978512681968775e+35,6.5950592800990396e+35,0
GX 339-4,BH,59873.59049,HS,3.131068496984536e+29,1.7168051955522615e+28,0,4.88377391726343e+36,4.9622387401884104e+35,5.490565180146053e+35,0
GX 339-4,BH,59965.40632,HS,2.049593761724711e+28,1.1183485004854909e+28,0,6.220549752715373e+33,2.5300536916235085e+33,4.3838255958023927e+33,0
GX 339-4,BH,59972.32838,HS,6.579226611814374e+27,2.193075537271458e+27,1,6.309230013770396e+33,2.2691009945888068e+33,3.7317964281482746e+33,0
GX 339-4,BH,59979.22998,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,1.0516441506003085e+34,3.021271407593094e+33,4.557318245229613e+33,0
GX 339-4,BH,59986.36136,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,1.0815880766038026e+34,3.313559398998367e+33,4.5207113186019974e+33,0
GX 339-4,BH,60001.20386,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,1.2602836590154114e+34,3.669573579939305e+33,5.0760004916698165e+33,0
GX 339-4,BH,60008.21264,HS,2.1675449722275526e+28,7.225149907425175e+27,1,8.564686886018157e+33,2.8935082822229056e+33,4.412034932572994e+33,0
GX 339-4,BH,60015.2226,HS,1.634466774110812e+28,5.448222580369374e+27,1,1.5339785303206736e+34,3.8684122501513133e+33,5.0729890293118846e+33,0
GX 339-4,BH,60021.22943,HS,1.0722837318440192e+28,3.5742791061467303e+27,1,1.0474566354524905e+34,3.270823419668437e+33,4.5384025119385395e+33,0
GX 339-4,BH,60028.01404,HS,1.121915150289371e+28,3.739717167631236e+27,1,1.0249308827088906e+34,2.797104240862887e+33,3.878473478071476e+33,0
GX 339-4,BH,60035.27791,HS,1.284289543968608e+28,4.2809651465620267e+27,1,2.2467484013190924e+34,4.30383991967564e+33,5.277798466454108e+33,0
GX 339-4,BH,60042.18763,HS,1.3801823462735162e+28,4.6006078209117205e+27,1,1.7243519460525719e+34,3.6527046988559074e+33,4.5381614100597035e+33,0
GX 339-4,BH,60050.14256,HS,2.8231698825550385e+28,9.410566275183463e+27,1,3.2031042857905653e+34,6.403145471322841e+33,8.050422273023054e+33,0
GX 339-4,BH,60056.16683,HS,2.885975072563046e+28,9.619916908543488e+27,1,3.9207250932048166e+34,7.300845335213035e+33,8.726295825955102e+33,0
