t,t_diff,Fx,Fx_unc_l,Fx_unc_u,Fx_uplim_bool,name,band,blockID,dt_radio,Rphase,Fr,Fr_unc,local_rms,alpha,alpha_unc,alpha_notes,Fr_uplim_bool,state,class,MX,a,ij,D,D_prob,Lr,Lr_unc,Lx,Lx_unc_l,Lx_unc_u
58621.888,0.0,5.114913715646882e-11,5.717520192688748e-12,6.41860051527365e-12,False,MAXI J1348-630,L,1558213252,0.01,decay,0.268,0.04408582538639829,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.9869723917850195e+27,3.268556638501065e+26,2.9626843339997917e+34,3.311728886528075e+33,3.717811922150724e+33
58628.019,0.0,6.071935966111066e-11,2.023978655370356e-11,0.0,True,MAXI J1348-630,L,1558743128,0.01,decay,0.133,0.040549013551503324,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",9.860721198037596e+26,3.0063347179460342e+26,3.5170152545910644e+34,1.1723384181970217e+34,0.0
58634.896,0.0,1.0097829857065812e-09,8.692319752980329e-11,9.353339713095324e-11,False,MAXI J1348-630,L,1559334653,0.01,rise,0.794,0.06946286777840374,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",5.886776414467557e+27,5.1500298705187105e+26,5.8489124134014215e+35,5.034806252839171e+34,5.41768533725129e+34
58642.878,0.0,8.340004433720736e-09,7.85877962788637e-10,8.260550782915593e-10,False,MAXI J1348-630,L,1560024256,0.01,rise,4.335,0.22517007461028207,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",3.2140019844731567e+28,1.6694280660701625e+27,4.8307365196967575e+36,4.551999228583479e+35,4.7847150030875146e+35
58650.881,0.0,9.909334689658759e-09,9.711853417622832e-10,1.0855071370290534e-09,False,MAXI J1348-630,L,1560717071,0.01,rise,6.257,0.3258160869263518,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",4.6389874087309195e+28,2.4156252594107797e+27,5.739731357657861e+36,5.6253453282064935e+35,6.287525397511449e+35
58686.86,0.0,2.509221175146185e-09,2.2168357818332467e-10,2.474956678450516e-10,False,MAXI J1348-630,L,1563825653,0.01,decay,1.106,0.06291335311362764,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.199968154157582e+27,4.664443869828367e+26,1.4534028684403662e+36,1.284046028341832e+35,1.4335560258118963e+35
58691.75,0.0,1.4524708812202077e-09,1.9963709816279717e-10,2.222449774195287e-10,False,MAXI J1348-630,L,1564248236,0.01,decay,0.699,0.0429709494891607,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",5.1824391860363e+27,3.185898891184735e+26,8.413070023484756e+35,1.1563473718095667e+35,1.287297791352287e+35
58699.713,0.0,1.0258658378388858e-10,1.0752545886355993e-11,1.191962600084185e-11,False,MAXI J1348-630,L,1564936258,0.01,decay,0.44,0.047413078364518794,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",3.262193479050032e+27,3.515241705964122e+26,5.94206826452097e+34,6.228140105407805e+33,6.904141728100406e+33
58705.765,0.0,8.344840464809037e-12,1.0829604467859985e-12,1.2747532911291114e-12,False,MAXI J1348-630,L,1565459161,0.01,decay,0.139,0.03961442287854261,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.0305565763362601e+27,2.9370434543343658e+26,4.83353766832615e+33,6.2727743387329425e+32,7.383685855324847e+32
58711.867,0.0,8.167170187666255e-12,2.7223900625554196e-12,0.0,True,MAXI J1348-630,L,1565987538,0.01,decay,0.135,0.045000000000000005,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.0009002719812598e+27,3.336334239937533e+26,4.730626656338189e+33,1.5768755521127304e+33,0.0
58718.658,0.0,5.639033554608008e-12,1.879677851536004e-12,0.0,True,MAXI J1348-630,L,1566574272,0.01,decay,0.11,0.03666666666666667,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.15548369762508e+26,2.7184945658750264e+26,3.266267487568637e+33,1.0887558291895467e+33,0.0
58726.741,0.0,2.0576935861286608e-13,6.858978620428874e-14,0.0,True,MAXI J1348-630,L,1567272657,0.01,decay,0.12,0.04,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,1.191866938663351e+32,3.9728897955445054e+31,0.0
58775.61615,0.0,8.160597297751519e-13,2.546798217017738e-13,3.6195784859544194e-13,False,MAXI J1348-630,L,1571494725,0.01,decay,0.15,0.049999999999999996,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.1121114133125108e+27,3.707038044375036e+26,4.7268194761857804e+32,1.4751684190361349e+32,2.0965492425053787e+32
58782.59722,0.0,1.2978502832512802e-12,4.3261676108376034e-13,0.0,True,MAXI J1348-630,L,1572097857,0.01,decay,0.15,0.049999999999999996,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.1121114133125108e+27,3.707038044375036e+26,7.517469337367832e+32,2.5058231124559455e+32,0.0
58788.66968,0.0,6.465820561850685e-13,2.155273520616896e-13,0.0,True,MAXI J1348-630,L,1572623454,0.01,decay,0.18,0.06,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.3345336959750129e+27,4.4484456532500424e+26,3.745162939200447e+32,1.2483876464001495e+32,0.0
58817.44918,0.0,7.370008267436176e-11,8.92510026872803e-12,1.0121851036376084e-11,False,MAXI J1348-630,L,1575109856,0.01,decay,0.474,0.035180818637433664,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",3.514272066067534e+27,2.608332662424498e+26,4.26889078667882e+34,5.16963847594323e+33,5.862826073647348e+33
58824.39566,0.0,5.457002570313288e-12,8.422037939852317e-13,1.028695141098753e-12,False,MAXI J1348-630,L,1575705658,0.01,decay,0.164,0.030137020423392887,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.215908478555012e+27,2.234381625072498e+26,3.1608306463130806e+33,4.878252352219139e+32,5.9584562876825355e+32
58832.38681,0.0,2.6572861396580795e-13,8.156771575090585e-14,1.2180677042762968e-13,False,MAXI J1348-630,L,1576400458,0.01,decay,0.12,0.04,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,1.53916575226609e+32,4.7246035231465135e+31,7.05534893808874e+31
58837.42836,0.0,4.901877998430126e-13,1.6339593328100428e-13,0.0,True,MAXI J1348-630,L,1576836058,0.01,decay,0.12,0.04,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,2.8392887857914736e+32,9.464295952638249e+31,0.0
58845.27234,0.0,6.914260949390376e-13,2.3047536497967926e-13,0.0,True,MAXI J1348-630,L,1577513772,0.01,decay,0.15,0.049999999999999996,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.1121114133125108e+27,3.707038044375036e+26,4.004910685644809e+32,1.3349702285482702e+32,0.0
58851.39722,0.0,6.099403251684709e-13,2.0331344172282376e-13,0.0,True,MAXI J1348-630,L,1578042961,0.01,decay,0.18,0.06,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.3345336959750129e+27,4.4484456532500424e+26,3.532924984684378e+32,1.1776416615614601e+32,0.0
58894.14745,0.0,2.09339918355313e-11,2.248771628478937e-12,2.441614111262175e-12,False,MAXI J1348-630,L,1581735698,0.01,decay,0.215,0.022706001409319082,,,,,False,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",1.5940263590812658e+27,1.6834402211995807e+26,1.2125485024211083e+34,1.30254405935666e+33,1.414243187520598e+33
58900.2364,0.0,4.9608024179997185e-12,8.953867649209586e-13,1.0776347748434699e-12,False,MAXI J1348-630,L,1582262704,0.01,decay,0.12,0.04,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,2.873419264711348e+33,5.186301253112313e+32,6.241926731697296e+32
58910.14722,0.0,2.20826351014922e-12,7.360878367164068e-13,0.0,True,MAXI J1348-630,L,1583118973,0.01,decay,0.12,0.04,,,,,True,HS,candidateBH,,0.78,29,2.2,"(""gauss"", 2.2, 0.6)",8.896891306500088e+26,2.9656304355000296e+26,1.2790807568950496e+33,4.2636025229835e+32,0.0
